gameId,trialNum,repNum,tangram,playerId,role,numPlayers,text,condition,realCorrect,targetNum,activePlayerCount,spans,span_offsets,raw_spans
rSMFkjhskBteiyQMB,0,0,K,PzsrjpFbCRkuAMq8B,speaker,4,"triangle at the bottom, right angled triangle above, 2 rotated squares on top of that They are touching on their points",4_rotate,2,0,,"[{""span"": ""triangle at the bottom"", ""literal_metaphor"": ""literal"", ""part_holistic"": ""part_based""}, {""span"": ""right angled triangle above"", ""literal_metaphor"": ""literal"", ""part_holistic"": ""part_based""}, {""span"": ""2 rotated squares on top of that"", ""literal_metaphor"": ""literal"", ""part_holistic"": ""part_based""}, {""span"": ""They are touching on their points"", ""literal_metaphor"": ""literal"", ""part_holistic"": ""part_based""}]","[[0, 22], [24, 51], [53, 85], [86, 119]]","""triangle at the bottom"" LITERAL PART  
""right angled triangle above"" LITERAL PART  
""2 rotated squares on top of that"" LITERAL PART  
""They are touching on their points"" LITERAL PART"
rSMFkjhskBteiyQMB,1,0,F,PzsrjpFbCRkuAMq8B,speaker,4,This one looks like a person sat down Their head is a rotated square,4_rotate,3,1,,"[{""span"":""rotated square"",""literal_metaphor"":""literal"",""part_holistic"":""part_based""},{""span"":""Their head"",""literal_metaphor"":""metaphorical"",""part_holistic"":""part_based""},{""span"":""person"",""literal_metaphor"":""metaphorical"",""part_holistic"":""holistic""},{""span"":""sat down"",""literal_metaphor"":""metaphorical"",""part_holistic"":""holistic""}]","[[54,68],[38,48],[22,28],[29,37]]","""This one"" METAPHOR HOLISTIC  
""looks like a person sat down"" METAPHOR HOLISTIC  
""their head"" METAPHOR PART  
""is""  
""a""  
""rotated square"" LITERAL PART"
rSMFkjhskBteiyQMB,1,0,F,ZvhRyXkvKz6ES5HwX,listener,4,do they have bunny ears,4_rotate,3,1,,"[{""span"": ""bunny ears"", ""literal_metaphor"": ""metaphorical"", ""part_holistic"": ""part_based""}]","[[13, 23]]","""bunny ears"" METAPHOR PART"
rSMFkjhskBteiyQMB,1,0,F,ZvhRyXkvKz6ES5HwX,listener,4,or knee up,4_rotate,3,1,,"[{""span"":""knee up"",""literal_metaphor"":""metaphorical"",""part_holistic"":""part_based""}]","[[3,10]]",or knee up METAPHOR PART
rSMFkjhskBteiyQMB,1,0,F,ZGADNAezcCdtejsh5,listener,4,sat down with legs out,4_rotate,3,1,,"[{""span"": ""sat down"", ""literal_metaphor"": ""metaphorical"", ""part_holistic"": ""holistic""}, {""span"": ""legs out"", ""literal_metaphor"": ""metaphorical"", ""part_holistic"": ""part_based""}]","[[0, 8], [14, 22]]","""sat down"" METAPHOR HOLISTIC  
""legs out"" METAPHOR PART"
rSMFkjhskBteiyQMB,1,0,F,PzsrjpFbCRkuAMq8B,speaker,4,They look as if they are sad so the head is tilted down,4_rotate,3,1,,"[{""span"":""look as if they are sad"",""literal_metaphor"":""metaphorical"",""part_holistic"":""holistic""},{""span"":""head is tilted down"",""literal_metaphor"":""metaphorical"",""part_holistic"":""part_based""}]","[[5,28],[36,55]]","they look as if LITERAL METAPHOR  
sad LITERAL METAPHOR  
so the head LITERAL METAPHOR  
is tilted down LITERAL PART"
rSMFkjhskBteiyQMB,1,0,F,PzsrjpFbCRkuAMq8B,speaker,4,1 knee up no bunny ears,4_rotate,3,1,,"[{""span"": ""1 knee up"", ""literal_metaphor"": ""metaphorical"", ""part_holistic"": ""part_based""}, {""span"": ""no bunny ears"", ""literal_metaphor"": ""metaphorical"", ""part_holistic"": ""part_based""}]","[[0, 9], [10, 23]]","""1 knee up"" METAPHOR PART  
""no bunny ears"" METAPHOR PART"
rSMFkjhskBteiyQMB,2,0,H,PzsrjpFbCRkuAMq8B,speaker,4,Looks like a letter 'i',4_rotate,3,2,,"[{""span"":""Looks like a letter 'i'"",""literal_metaphor"":""literal"",""part_holistic"":""holistic""}]","[[0,23]]","""looks like a letter 'i'"" METAPHOR HOLISTIC"
rSMFkjhskBteiyQMB,2,0,H,ZGADNAezcCdtejsh5,listener,4,does it look like with its hand out or not,4_rotate,3,2,,"[{""span"":""with its hand out"",""literal_metaphor"":""metaphorical"",""part_holistic"":""part_based""}]","[[18,35]]","""does it look like"" METAPHOR HOLISTIC  
""with its hand out"" METAPHOR PART  
""or not"" LITERAL PART"
rSMFkjhskBteiyQMB,2,0,H,PzsrjpFbCRkuAMq8B,speaker,4,no hand it is just a head and a body,4_rotate,3,2,,"[{""span"":""just a head"",""literal_metaphor"":""metaphorical"",""part_holistic"":""part_based""},{""span"":""and a body"",""literal_metaphor"":""metaphorical"",""part_holistic"":""part_based""},{""span"":""no hand"",""literal_metaphor"":""metaphorical"",""part_holistic"":""part_based""}]","[[14,25],[26,36],[0,7]]","no hand"" METAPHOR PART  
""it is"" (not labeled, not a meaningful phrase)  
""just a head"" METAPHOR PART  
""head"" METAPHOR PART  
""and"" (not labeled, not a meaningful phrase)  
""and a body"" METAPHOR PART"
rSMFkjhskBteiyQMB,2,0,H,PzsrjpFbCRkuAMq8B,speaker,4,more like a baby that has been swaddled in a blanket,4_rotate,3,2,,"[{""span"":""like a baby"",""literal_metaphor"":""metaphorical"",""part_holistic"":""holistic""},{""span"":""swaddled in a blanket"",""literal_metaphor"":""metaphorical"",""part_holistic"":""holistic""}]","[[5,16],[31,52]]","""like a baby"" METAPHOR HOLISTIC  
""that has been swaddled"" METAPHOR PART  
""in a blanket"" LITERAL PART"
rSMFkjhskBteiyQMB,3,0,J,PzsrjpFbCRkuAMq8B,speaker,4,square rotated head The point is touching a straight line and that shape is not a regular shape It looks as if 1 arm is reaching out to the side,4_rotate,2,3,,"[{""span"":""square rotated"",""literal_metaphor"":""literal"",""part_holistic"":""part_based""},{""span"":""head"",""literal_metaphor"":""metaphorical"",""part_holistic"":""part_based""},{""span"":""that shape is not a regular shape"",""literal_metaphor"":""literal"",""part_holistic"":""part_based""},{""span"":""1 arm is reaching out to the side"",""literal_metaphor"":""metaphorical"",""part_holistic"":""part_based""},{""span"":""point"",""literal_metaphor"":""literal"",""part_holistic"":""part_based""},{""span"":""touching a straight line"",""literal_metaphor"":""literal"",""part_holistic"":""part_based""}]","[[0,14],[15,19],[62,95],[111,144],[24,29],[33,57]]","""square rotated"" LITERAL PART  
""head"" METAPHOR PART  
""the point is touching a straight line"" LITERAL PART  
""that shape is not a regular shape"" LITERAL PART  
""It looks as if"" METAPHOR HOLISTIC  
""1 arm is reaching out to the side"" METAPHOR PART"
rSMFkjhskBteiyQMB,3,0,J,PzsrjpFbCRkuAMq8B,speaker,4,There appears to be a foot too,4_rotate,2,3,,"[{""span"": ""foot too"", ""literal_metaphor"": ""metaphorical"", ""part_holistic"": ""part_based""}]","[[22, 30]]","""foot too"" METAPHOR PART"
rSMFkjhskBteiyQMB,4,0,D,PzsrjpFbCRkuAMq8B,speaker,4,This picture looks like a religious person giving a sermon speech They look as if they are holding a book to one side,4_rotate,3,4,,"[{""span"":""looks like a religious person"",""literal_metaphor"":""metaphorical"",""part_holistic"":""holistic""},{""span"":""giving a sermon speech"",""literal_metaphor"":""metaphorical"",""part_holistic"":""holistic""},{""span"":""holding a book to one side"",""literal_metaphor"":""literal"",""part_holistic"":""part_based""}]","[[13,42],[43,65],[91,117]]","""This picture"" HOLISTIC PART  
""looks like a religious person"" METAPHOR HOLISTIC  
""religious person"" METAPHOR PART  
""giving a sermon speech"" LITERAL PART  
""sermon speech"" LITERAL PART  
""They"" HOLISTIC PART  
""look as if"" METAPHOR PART  
""they are holding"" METAPHOR PART  
""holding a book"" METAPHOR PART  
""book"" METAPHOR PART  
""to one side"" LITERAL PART"
rSMFkjhskBteiyQMB,4,0,D,ZGADNAezcCdtejsh5,listener,4,the 'I' but with hand out,4_rotate,3,4,,"[{""span"":""I"",""literal_metaphor"":""literal"",""part_holistic"":""holistic""},{""span"":""hand out"",""literal_metaphor"":""metaphorical"",""part_holistic"":""part_based""}]","[[5,6],[17,25]]","""I"" METAPHOR HOLISTIC  
""hand out"" METAPHOR PART"
rSMFkjhskBteiyQMB,4,0,D,ZvhRyXkvKz6ES5HwX,listener,4,are their knees bent a little,4_rotate,3,4,,"[{""span"":""their knees bent a little"",""literal_metaphor"":""metaphorical"",""part_holistic"":""part_based""}]","[[4,29]]","""their knees"" METAPHOR PART  
""bent a little"" LITERAL PART"
rSMFkjhskBteiyQMB,4,0,D,PzsrjpFbCRkuAMq8B,speaker,4,no their knees are not bent they are straight,4_rotate,3,4,,"[{""span"":""their knees are not bent"",""literal_metaphor"":""metaphorical"",""part_holistic"":""part_based""},{""span"":""they are straight"",""literal_metaphor"":""metaphorical"",""part_holistic"":""part_based""}]","[[3,27],[28,45]]","no LITERAL HOLISTIC  
their knees LITERAL PART  
are not LITERAL PART  
bent LITERAL PART  
they LITERAL HOLISTIC  
are LITERAL PART  
straight LITERAL PART"
rSMFkjhskBteiyQMB,5,0,I,PzsrjpFbCRkuAMq8B,speaker,4,Looks like someone ice skating,4_rotate,3,5,,"[{""span"":""ice skating"",""literal_metaphor"":""metaphorical"",""part_holistic"":""holistic""}]","[[19,30]]","""ice skating"" METAPHOR HOLISTIC  
""someone"" METAPHOR HOLISTIC"
rSMFkjhskBteiyQMB,5,0,I,PzsrjpFbCRkuAMq8B,speaker,4,there arms are out in front of them and they have one leg lifted off the ground,4_rotate,3,5,,"[{""span"":""arms are out in front of them"",""literal_metaphor"":""metaphorical"",""part_holistic"":""part_based""},{""span"":""they have one leg lifted off the ground"",""literal_metaphor"":""metaphorical"",""part_holistic"":""part_based""}]","[[6,35],[40,79]]","""arms are out in front of them"" METAPHOR HOLISTIC  
""they have one leg lifted off the ground"" METAPHOR PART"
rSMFkjhskBteiyQMB,5,0,I,ZvhRyXkvKz6ES5HwX,listener,4,lowkey like a rooster too,4_rotate,3,5,,"[{""span"":""rooster"",""literal_metaphor"":""metaphorical"",""part_holistic"":""holistic""}]","[[14,21]]","""lowkey like"" METAPHOR HOLISTIC  
""rooster"" METAPHOR PART"
